@relation Sauberkeit

@attribute id numeric
@attribute lemma string
@attribute pos string
@attribute nsubj_1 string
@attribute nsubj_2 string
@attribute lexicons_min numeric
@attribute lexicons_max numeric
@attribute lexicons_extremes_difference numeric
@attribute contains_negation numeric
@attribute aspecttype {true, false}

@data
56,'good ','jj ','','',0.0,1.0,1.0,0,false
57,'view window need clean be change be not clear ','nn nns vbp vbg vb vbn vbd rb jj ','clear','they',0.0,1.0,1.0,1,true
58,'location be excellent ','nnp vbz jj ','excellent','location',0.0,1.0,1.0,0,false
59,'water pressure be also excellent ','nn nn vbz rb jj ','excellent','pressure',-0.2,1.0,1.2,0,false
60,'bathroom space be very small potentially people ','nn nn vbz rb jj rb nns ','small','space',0.0,0.0,0.0,0,false
61,'security be priority hotel ground level be connect small inside mall be huge bonus also seem be converging space homeless have mental health issue addiction issue ','nn vb nn nn nn nn vbz vbn jj jj nn vbz jj nn rb vbz vb jj nn jj vbp jj nn nns nn nns ','have','who',0.0,1.0,1.0,0,false
62,'make very in-predictable not have want run small kid tow ','vbz rb jj rb vb vbn vb jj nns nn ','in-predictable','them',0.0,0.2,0.2,1,false
63,'see few have episode next morning ','vbd jj vbg nns jj nn ','morning','episodes',0.0,0.0,0.0,0,false
78,'fine ','nn ','','',0.0,0.4,0.4,0,false
79,'gym have equipment need be upgrade ','nnp vbd nn nns vb vbn ','had','gym',0.0,0.0,0.0,1,false
101,'enjoy stay ','vbn nn ','','',0.0,1.0,1.0,0,false
102,'comfortable foot rest ','jj jj nn ','','',0.0,0.5,0.5,0,false
103,'next elevator ','rb nns ','','',0.0,0.0,0.0,0,false
167,'be more economical other property search area be room improvement ','vbd rbr jj jj nns vbd nn vbz nn nn ','is','room',0.0,1.0,1.0,1,false
168,'location be close event be attend ','nnp vbd jj nn vbd vbg ','attending','we',0.0,0.0,0.0,0,false
169,'be parking structure attack hotel do not need park outside ','vbz nn nn vbd nn vbd rb vb vb rb ','need','you',-0.2,0.5,0.7,1,false
170,'travel pet request mini fridge room medication storage be honour charge ','vb nns nn jj nn nn nn nn vbd vbn nn ','travel','you',0.0,0.4,0.4,1,false
171,'bathroom be date tile be crack shower much grout be black ','nn vbd vbn nns vbd vbn nn jj nn vbd jj ','black','dated',0.0,0.0,0.0,0,true
172,'carpet be stain be not dirty ( sock do not turn get dirty walking carpet ) ','nn vbd vbn vbd rb jj -lrb- nns vbd rb vb vb jj nn nn -rrb- ','turn','socks',-0.4,0.0,0.4,1,true
173,'parking garage have low ceiling ( foot max clearance ) so large vehicle not fit cost be day ','nn nn vbz jj nns -lrb- nn nn nn -rrb- rb jjr nns rb vb vb vbz nn ','fit','vehicles',0.0,0.3333333333333333,0.3333333333333333,1,false
